experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,train_query_count,eval_query_count,evaluation_scope,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
exact_infeasibility_canonical_0001,exact_infeasibility_canonical,exact_infeasibility,A,41620,443,443,443,train,41620,3,0,cosine_proxy_utility,0.0,,,0.0,0.0,,,skipped,exhaustive search skipped because photo count exceeds the configured limit,experiments\results\exact_infeasibility_canonical\diagnostics\exact_infeasibility_canonical_0001_a.json,experiments\configs\exact_infeasibility.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
exact_infeasibility_canonical_0002,exact_infeasibility_canonical,exact_infeasibility,A,41620,443,443,443,train,41620,4,0,cosine_proxy_utility,0.0,,,0.0,0.0,,,skipped,exhaustive search skipped because photo count exceeds the configured limit,experiments\results\exact_infeasibility_canonical\diagnostics\exact_infeasibility_canonical_0002_a.json,experiments\configs\exact_infeasibility.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
exact_infeasibility_canonical_0003,exact_infeasibility_canonical,exact_infeasibility,C,41620,443,443,443,train,41620,3,0,cosine_proxy_utility,0.0,,,0.0,0.0,,,skipped,exact Shapley skipped because photo count exceeds the configured limit,experiments\results\exact_infeasibility_canonical\diagnostics\exact_infeasibility_canonical_0003_c.json,experiments\configs\exact_infeasibility.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
exact_infeasibility_canonical_0004,exact_infeasibility_canonical,exact_infeasibility,C,41620,443,443,443,train,41620,4,0,cosine_proxy_utility,0.0,,,0.0,0.0,,,skipped,exact Shapley skipped because photo count exceeds the configured limit,experiments\results\exact_infeasibility_canonical\diagnostics\exact_infeasibility_canonical_0004_c.json,experiments\configs\exact_infeasibility.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
