experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,train_query_count,eval_query_count,evaluation_scope,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
d_ablations_canonical_0001,d_ablations_canonical,d_ablations,D,10000,439,439,439,train,10000,3,0,cosine_proxy_utility,0.36580019639570754,0.36580019639570754,0.00017381940312843883,7.334327900083736,390.93192768096924,"7735,2723,2174","32147,11318,9128",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0001_d.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0002,d_ablations_canonical,d_ablations,D,10000,439,439,439,train,10000,10,0,cosine_proxy_utility,0.43059659487878604,0.430596594878786,0.0008745108111095127,23.04534379998222,390.930908203125,"7735,2723,2174,7103,4847,530,6517,3824,6356,9132","32147,11318,9128,29525,20124,2221,27106,15897,26446,37981",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0002_d.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0003,d_ablations_canonical,d_ablations,D,10000,439,439,439,train,10000,25,0,cosine_proxy_utility,0.4716879873830375,0.4716879873830375,0.010972550466693045,56.78763889998663,390.930908203125,"7735,2723,2174,7103,4847,530,6517,3824,6356,9132,9916,776,6108,1416,1167,5714,9246,7022,7358,953,4110,6590,4669,1730,3778","32147,11318,9128,29525,20124,2221,27106,15897,26446,37981,41225,3432,25330,6034,5002,23731,38533,29187,30601,4095,17065,27372,19348,7389,15710",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0003_d.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0004,d_ablations_canonical,d_ablations,D_frequency_only,10000,439,439,439,train,10000,3,0,cosine_proxy_utility,0.2857815602194858,0.2857815602194858,0.008272253472383638,0.14619260001927614,313.158447265625,"9815,1704,7022","40860,7315,29187",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0004_d_frequency_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0005,d_ablations_canonical,d_ablations,D_frequency_only,10000,439,439,439,train,10000,10,0,cosine_proxy_utility,0.3408865249709786,0.3408865249709786,0.0242175837685112,0.14427579997573048,313.80208587646484,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669","40860,7315,29187,5002,7389,7449,8499,14206,16396,19348",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0005_d_frequency_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0006,d_ablations_canonical,d_ablations,D_frequency_only,10000,439,439,439,train,10000,25,0,cosine_proxy_utility,0.4314402155598296,0.4314402155598296,0.04811739308396326,0.14616279990877956,315.1816711425781,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669,5838,7724,8191,9703,737,1212,1528,9237,3276,1643,8246,8330,1292,2136,3333","40860,7315,29187,5002,7389,7449,8499,14206,16396,19348,24285,32091,34012,40405,3224,5229,6491,38494,13588,6971,34255,34594,5554,8989,13860",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0006_d_frequency_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0007,d_ablations_canonical,d_ablations,D_coverage_only,10000,439,439,439,train,10000,3,0,cosine_proxy_utility,0.36580019639570754,0.36580019639570754,0.00017381940312843883,7.157307800021954,390.9308166503906,"7735,2723,2174","32147,11318,9128",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0007_d_coverage_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0008,d_ablations_canonical,d_ablations,D_coverage_only,10000,439,439,439,train,10000,10,0,cosine_proxy_utility,0.43061053686681233,0.43061053686681233,0.0007518836397503901,22.962370999972336,390.9308166503906,"7735,2723,2174,7103,9126,530,6517,3824,6356,9132","32147,11318,9128,29525,37945,2221,27106,15897,26446,37981",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0008_d_coverage_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
d_ablations_canonical_0009,d_ablations_canonical,d_ablations,D_coverage_only,10000,439,439,439,train,10000,25,0,cosine_proxy_utility,0.4677363594000299,0.46773635940002983,0.0020035413232179803,56.86354309995659,390.9308166503906,"7735,2723,2174,7103,9126,530,6517,3824,6356,9132,9916,9893,5714,1416,4313,9272,9197,7856,113,7358,6590,5249,7126,7147,5293","32147,11318,9128,29525,37945,2221,27106,15897,26446,37981,41225,41142,23731,6034,17986,38625,38281,32639,427,30601,27372,21805,29613,29734,22046",success,,experiments\results\d_ablations_canonical\diagnostics\d_ablations_canonical_0009_d_coverage_only.json,experiments\configs\d_ablations.yaml,ed7ad4e,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
